,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
0,Niels,Bohr,1885-10-07,1962-11-18,Denmark,male,1922,Physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
1,Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,male,1933,Physics,"""for the discovery of new productive forms of atomic theory"""
2,Robert,Hofstadter,1915-02-05,1990-11-17,USA,male,1961,Physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"""
3,Maria,Goeppert Mayer,1906-06-28,1972-02-20,Poland,female,1963,Physics,"""for their discoveries concerning nuclear shell structure"""
4,Nicolay G.,Basov,1922-12-14,2001-07-01,Russia,male,1964,Physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
5,James,Rainwater,1917-12-09,1986-03-31,USA,male,1975,Physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
6,Barry J.,Marshall,1951-09-30,,Australia,male,2005,Medicine,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"""
7,George F.,Smoot,1945-02-20,,USA,male,2006,Physics,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
8,Daniel,Nathans,1928-10-30,1999-11-16,USA,male,1978,Medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
9,Alice,Munro,1931-07-10,,Canada,female,2013,Literature,"""master of the contemporary short story"""
10,Isamu,Akasaki,1929-01-30,2021-04-01,Japan,male,2014,Physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
11,Ernst,Ruska,1906-12-25,1988-05-27,Germany,male,1986,Physics,"""for his fundamental work in electron optics and for the design of the first electron microscope"""
12,Heinrich,Rohrer,1933-06-06,2013-05-16,Switzerland,male,1986,Physics,"""for their design of the scanning tunneling microscope"""
13,John H.,Northrop,1891-07-05,1987-05-27,USA,male,1946,Chemistry,"""for their preparation of enzymes and virus proteins in a pure form"""
14,Willard F.,Libby,1908-12-17,1980-09-08,USA,male,1960,Chemistry,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science"""
15,Karl,Ziegler,1898-11-26,1973-08-12,Germany,male,1963,Chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers"""
16,John,Pople,1925-10-31,2004-03-15,United Kingdom,male,1998,Chemistry,"""for his development of computational methods in quantum chemistry"""
17,Henri,La Fontaine,1854-04-22,1943-05-14,Belgium,male,1913,Peace,"""for his unparalleled contribution to the organization of peaceful internationalism"""
18,Sir Austen,Chamberlain,1863-10-16,1937-03-16,United Kingdom,male,1925,Peace,"""for his crucial role in bringing about the Locarno Treaty"""
19,Arthur,Henderson,1863-09-13,1935-10-20,Scotland,male,1934,Peace,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34"""
